Latitude,Longitude,Depth,Month,temperature,si,phosphate,din,o2,mld,DIC,irradiance,chlor_a,Acanthoica acanthifera,Acanthoica quattrospina,Algirosphaera robusta,Alisphaera capulata type,Alisphaera extenta type,Alisphaera unicornis POL,Alisphaera unicornis type,Calcidiscus leptoporus,Calcidiscus leptoporus HOL,Calciopappus rigidus ,Calciosolenia brasiliensis,Calciosolenia murrayi,Calicasphaera blokii,Calicasphaera concava,Calicasphaera diconstricta,Calyptrosphaera heimdalae,Calyptrosphaera type,Ceratolithus cristatus,Coccolithus pelagicus,Coccolithus pelagicus HOL,Corisphaera gracilis,Corisphaera spp.,Corisphaera tyrrheniensis,Coronosphaera mediterranea,Cyrtosphaera aculeata,Discosphaera tubifera,Emiliania huxleyi,Florisphaera profunda,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa ornata,Gephyrocapsa parvula,Gladiolithus flabellatus,Helicosphaera HOL type,Helicosphaera carteri,Helladosphaera cornifera,Holococcolithophora -flat type,Homozygosphaera spinosa,Homozygosphaera spp.,Homozygosphaera triarcha,Hymenomonas lacuna,Michaelsarsia adriaticus,Michaelsarsia elegans,Ohiaster hydroideus,Oolithotus antillarum,Oolithotus fragilis,Ophiaster formosus,Ophiaster hydroideus,Ophiaster minimus,Ophiaster reductus,Palusphaera vandelii,Pappamonas type,Papposphaera lepida,Pontosphaera type,Poritectolithus maximus,Poritectolithus poritectum,Pseudowigwamma scenozonion,Reticulofenestra sessilis,Rhabdosphaera clavigera,Rhabdosphaera xiphos,Rhabdosphaera xiphos COMB,Scyphosphaera apsteinii,Scyphosphaera apsteinii HOL,Solisphaera type,Sphaerocalyptra type,Syracosphaera HOL (Anthosphaera type),Syracosphaera anthos HOL,Syracosphaera anthos type,Syracosphaera arethusae COMB,Syracosphaera arethusae HOL,Syracosphaera aurisinae HOL type,Syracosphaera bannockii COMB,Syracosphaera bannockii type,Syracosphaera borealis type,Syracosphaera dilatata type,Syracosphaera halldalii HOL,Syracosphaera halldalii type,Syracosphaera histrica,Syracosphaera lamina type,Syracosphaera laminated type,Syracosphaera mediterranea HOL type,Syracosphaera molischii type,Syracosphaera nodosa type,Syracosphaera noroitica type,Syracosphaera orbiculus HOL,Syracosphaera prolongata type,Syracosphaera pulchra,Syracosphaera pulchra COMB,Syracosphaera pulchra HOL,Syracosphaera rotula type,Syracosphaera strigilis COMB,Tergestiella adriatica,Tetralithoides quadrilaminata,Turrilithus latericioides,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera anulus,Umbilicosphaera anulus ,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera sibogae,Wigwamma antarctica,Wigwamma triradiata,Zygosphaera type,flat dimorphic,fried egg monomorphic,rare,undefined  Canistrolithus,undefined Acanthoica,undefined Algirosphaera,undefined Alisphaera,undefined Calciopappus,undefined Calciosolenia,undefined Ceratolithus,undefined Cyrtosphaera,undefined Ericiolus,undefined Gephyrocapsa,undefined Helicosphaera,undefined Hymenomonas,undefined Jomonlithus,undefined Michaelsarsia,undefined Oolithotus,undefined Ophiaster,undefined Palusphaera,undefined Papposphaera,undefined Polycrater,undefined Rhabdosphaera spp.,undefined Scyphosphaera spp.,undefined Syracolithus,undefined Syracosphaera,undefined Turrisphaera spp.,undefined Umbellosphaera,undefined Umbilicosphaera,undefined Wigwamma spp.,undefined hetero,undefined holo,undefined other,FID
-64.5,-143.5,15,12.0,-0.7652593190621392,43.30468783091642,1.769946019352331,24.587808241538465,354.57166295431534,82.67813037726802,2148.5124227765727,12.68648632554448,0.2370225340127945,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-64.5,-143.5,35,12.0,-0.8371093215726122,42.99711023659012,1.6749539583950854,24.8530548806205,354.8977996218813,82.67813037726802,2150.909148381805,4.780478899586798,0.2370225340127945,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-64.5,-143.5,55,12.0,-1.0250187987794963,44.13291658054141,1.715147025875424,25.12202841151401,353.2257463705388,82.67813037726802,2159.4788699134133,1.8013639019481469,0.2370225340127945,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-64.5,-143.5,95,12.0,-1.5471250278885536,47.08712473591607,1.7776833925077906,25.425897842339104,343.00830284226856,82.67813037726802,2182.4328760515814,0.2557770389669014,0.2370225340127945,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-64.5,-143.5,125,12.0,-1.0761722624202457,66.8954961444711,1.946525922648572,30.60929032465428,293.1458753666444,82.67813037726802,2207.837801237474,0.038516940686580896,0.2370225340127945,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-63.5,-169.5,15,12.0,0.8147070657520541,28.95097549064704,1.4310804855400818,22.70717927237115,368.74553974472576,85.77443674870736,2130.6293814816217,10.21284292694916,0.3732912242412567,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-63.5,-169.5,30,12.0,0.4006051192926618,34.34110507538458,1.6427081983571146,24.656592273521948,363.2199117462534,85.77443674870736,2144.7966921615566,3.99342899949436,0.3732912242412567,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-63.5,-169.5,55,12.0,-0.0090491407576778,46.93776320152508,2.0152510983054275,28.50426023013515,335.4293853263954,85.77443674870736,2162.251689922396,0.8349840099561237,0.3732912242412567,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-63.5,-169.5,95,12.0,-0.2862102988549724,51.90416573514987,2.13881238252074,30.35924744389331,316.1129508800611,85.77443674870736,2178.061013694836,0.0682668187368939,0.3732912242412567,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1130.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
-63.5,-169.5,125,12.0,0.4123926114013689,54.99884895559999,2.226489752955941,31.931204568013705,279.8064275694394,85.77443674870736,2195.7859376353717,0.0061435399791997195,0.3732912242412567,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,0.0,,,,,,0.0,,,,,,0.0,,ANTA
