Gephyrocapsa huxleyi HET,lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR
1130.0,-64,-170,-0.6302923122814033,59.387958546396156,2.168570333255851,30.962253415741653,303.964002074959,2187.5149943137712,2301.7298275497947,0.00985805434512181
96109.0,-64,175,1.2363834843055033,26.232190486413423,1.421814793130902,24.350541538232925,330.7186149241478,2144.243998440644,2280.626535095474,75.7801752735936
796.0,-63,-142,-0.5423835287216311,43.488704995283086,1.6832767355147569,24.90743190645563,355.5890801329978,2150.5320805398796,2289.2771731259036,2.7268776960974512
1180.0,-63,-142,-0.7687070243668516,43.95336286371389,1.7141468759198022,25.092020455435332,355.132677628551,2158.549436383367,2292.522498958457,0.5538054208792311
441.0,-63,-66,1.932691088946424,31.685083980770585,1.5649320200351047,23.643662046042063,340.4401807877841,2129.027580971512,2284.5460969324645,39.43018686836589
30988.0,-63,-66,0.9229104915891378,37.36852053150272,1.8020746619697656,25.270192423733153,329.73934449787777,2164.801094092838,2302.1945576986277,1.3364047191550126
5812.0,-63,-66,-0.5349544485623151,52.32786839563733,2.112817378768876,30.148796028230525,290.35083367445446,2204.2153565890317,2314.9606220537235,0.034181903047045874
455.0,-63,-65,1.8211331889113735,35.41133556020265,1.5741227314241375,22.84878181079106,341.2859918028873,2132.0727275875643,2287.5262653790983,38.62409590416434
455.0,-63,-64,1.7059086407640354,38.39831158953344,1.5799957719321018,22.015758947401107,341.65325093832934,2137.412690831863,2291.772994768129,37.687671993599004
12796.0,-63,-64,1.6803153526417474,39.67042847835724,1.6113930156065435,22.321348933903177,337.9824160076272,2148.4347793283314,2297.064034423915,7.54564401816223
2316.0,-63,-64,0.7149369709623952,44.6738898621779,1.7983372272536031,23.561374124437513,327.02861566138637,2169.8887985083256,2304.854093061275,1.0837523385872208
9597.0,-63,-64,-0.3147084040967314,54.07101690180704,1.9931844230090383,26.602131484816162,303.964474654657,2195.458087538435,2312.8073120459094,0.1632722027924349
119403.0,-63,172,2.0179730339212787,23.17383984865223,1.5511133809970636,24.225500627324557,328.585677287895,2137.727902560409,2279.3441876017123,76.44807281477597
2906.0,-62,-170,1.7941100529527898,18.9358397362418,1.4038301676057168,22.279236416954877,361.66980306142887,2128.6413339604483,2286.1289652417563,31.7886424121572
2199.0,-62,-170,1.2258438439067318,23.85374672131428,1.602959773747056,24.067176772694435,361.04299497044303,2137.5854585267543,2288.2330643596165,3.0178030761834758
846.0,-62,-170,0.7546415049344896,35.14470475888429,1.9435208317576942,27.36559631656822,338.830742146961,2151.321849213822,2286.700702466015,0.3312433710246683
8630.0,-62,-170,0.34475724576440636,40.06109554024139,2.075951357951925,29.032695294534772,324.5805402805604,2165.6756745886446,2291.8920781978245,0.011710308600995933
1018.0,-62,-170,0.7717287769178918,43.710872436838095,2.141030558449981,30.691589489041736,294.2463030784091,2181.763835522836,2299.1476891225852,0.00021799791212400154
710.0,-62,-140,-0.041687451124809996,41.8814508817731,1.7915337290421853,24.844104931775135,352.7937079398945,2149.5562486854083,2291.7353846822716,15.746790718120263
800.0,-62,-140,-0.9641555757818906,43.512011616837334,1.8397072403174748,25.25059209557273,343.96294645332665,2177.7681375545985,2301.497280109275,0.03548757128741862
61329.0,-62,-68,2.8016472842113775,14.930884095454816,1.5814923230026972,24.716672630846844,333.4135654443832,2127.1335689700227,2277.335983847859,44.00689276231768
288986.0,-62,-68,2.926831907369966,15.177546682420408,1.5903658974840484,25.094306089102922,332.9998961488103,2129.1706257946707,2279.335622983649,31.317222451441094
181289.0,-62,-68,1.8278803429821155,19.70489971859996,1.7303245096691526,25.777476732766097,335.4014257795117,2149.6205860936484,2293.308677674032,2.100134648106493
65706.0,-62,-68,0.3276221368990844,26.52303280212526,1.8537450249795324,27.76048483342444,325.8212956631206,2171.5127309511436,2301.3176532510925,0.39323502047251857
15749.0,-62,-68,-0.08529277955505211,31.93298815591406,1.999946963309816,29.35497355235662,312.5376823240734,2185.2474745489285,2306.129253318442,0.0742237285703403
2982.0,-62,-67,2.6632401942775665,17.96984657654286,1.5859965257782171,24.423760233916052,335.24726114576515,2128.103039385361,2278.9816397022123,43.998769204706164
104083.0,-61,-170,2.3619286635363794,13.67134755545686,1.4492056095293495,22.298626108097867,354.4304130165163,2130.1610658760933,2284.9583116506756,12.757075158625375
153939.0,-61,-170,1.8938139352182974,18.181899387828395,1.6400669201483247,24.040153594228073,351.843749576423,2135.3596711402233,2285.2830271050507,2.052300626086353
37711.0,-61,-170,1.4902159456849837,26.066054971962043,1.8733037443555007,26.28375018913934,337.77869829162483,2143.124774986972,2283.840782440335,0.3563346238419468
14251.0,-61,-170,1.0073725623495957,30.645942031523663,1.9999021313827199,27.76331343246069,328.9866307228075,2154.992816687125,2287.5511162606635,0.012730716557821493
17374.0,-61,-170,1.106867604394526,33.448142173394444,2.044817790761876,29.102761824199423,311.7284189028289,2166.1539734314065,2291.9844848000585,0.00024397141452944275
69592.0,-61,-116,3.224360661408564,3.494880611307958,1.5693980496575175,23.02783913223855,326.6221593839189,2128.3241601894556,2282.855850754367,14.487186758272205
69387.0,-61,-116,3.134437288517988,4.444445569313677,1.5834531044933942,20.692814934540912,322.1978711546567,2130.8858718003926,2281.8057030185805,2.7707120727294283
132744.0,-61,-116,2.906585754453769,7.544235083293853,1.664049263050637,21.162679761610846,322.1659319535405,2133.590268476667,2282.588315582354,0.5626717875134211
77228.0,-61,-116,2.4044003908595237,23.141019330722433,1.9332915034357752,23.882236971414077,320.21518147362116,2141.1445540886857,2282.4314526411677,0.026343709628906028
